Data Source,cruise,station,year,month,day,hour,minute,latitude (degrees),longitude (degrees),phytoplankton color index,acartia danae,acartia longiremis,acartia spp.,amphipoda spp.,appendicularia spp.,bivalvia spp.,brachyura spp.,calanus i-iv,calanus finmarchicus v-vi,calanus helgolandicus,calanus hyperboreus,calocalanus spp.,candacia spp.,cavoliniidae spp.,centropages hamatus,centropages typicus,centropages spp.,chaetognatha eyecount,chaetognatha traverse,cladocera spp.,clausocalanus spp.,clione spp.,copepoda spp.,cumacea spp.,cyclopoida spp.,decapoda spp.,echinoderm larvae,ectoprocta cyphonautes,eucalanus spp.,euchaeta acuta,euchaeta marina,euchaeta spp.,euchirella rostrata,euphausiacea calyptosis,euphausiacea nauplii,euphausiacea spp.,eurytemora americana,eurytemora herdmani,eurytemora spp.,evadne spp.,foraminiferida spp.,gammaridea spp.,gastropoda spp.,gymnosomata spp.,halithalestris spp.,harpacticoida spp.,heteropoda spp.,heterorhabdus papilliger,homarus americanus,hyperiidea spp.,isopoda spp.,labidocera aestiva,limacina spp.,lucifer typus,macrosetella gracilis,mecynocera clausi,metridia longa,metridia lucens,metridia i-iv,microsetella rosea,musca spp.,mysida spp.,nannocalanus minor,nemata spp.,oithona spp.,oncaea spp.,ostracoda spp.,paedoclione doliiformis,para-pseudocalanus spp.,paracalanus spp.,paraeuchaeta norvegica,penilia avirostris,pleuromamma piseki,pleuromamma robusta,pleuromamma spp.,pneumodermopsis paucidens,podon spp.,polychaeta larva,pseudocalanus spp.,pycnogonida spp.,rhincalanus nasutus,rhincalanus spp.,sapphirina spp.,sarcodina spp.,sessilia spp.,siphonostomoida spp.,sipuncula spp.,stellate bodies,stomatopoda spp.,temora longicornis,temora turbinata,thalia democratica,thaliacea spp.,thecosomata spp.,tintinnidae spp.,tortanus discaudatus,undeuchaeta plumosa,unidentified plankton and fragments,acantharia spp,alteutha spp.,anomalocera opalus,calanus glacialis,calanus spp.,candacia armata,centropages bradyi,cirripede cypris,cirripede larvae (total),cirripede nauplii,clione limacina,codonella spp.,codonellopsis spp.,corycaeus spp.,cyphonautes,dictyocysta spp.,doliolidae spp.,euphausiacea calyptopis,euphausiacea eggs,fish larvae,foraminifera spp.,fritillaria spp.,fusopsis incertae sedis,gymnosomoata spp.,halosphaera spp.,ischnocalanus spp.,labidocera acutifrons,lepas spp.,metridia spp.,microsetella spp.,monstrilloida spp.,neocalanus gracilis,parafavella gigantea,parafavella spp.,parathalestris croni,plastic total (trial),pleuromamma abdominalis,pleuromamma borealis,reophax scotti,salpidae spp.,salpingella spp.,scolecithrix danae,siphonostomatoida spp.,stenosemella spp.,temora stylifera,tintinnopsis spp.,tomopteris spp.,zoothamnium pelagicum,fish eggs,radiolaria spp.
NOAA,EG6101,15,1961,7,16,5,0,43.25,66,1,0,0,0,0,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25613,0,0,0,0,0,0,0,0,0,9040,0,0,0,0,0,0,0,0,0,0,4520,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOAA,EG6101,17,1961,7,16,5,0,43.15,66.4,2,0,0,0,0,0,0,0,4520,2511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1507,0,0,0,9040,0,0,0,0,0,0,0,0,0,9040,0,0,0,0,0,0,0,0,0,0,1507,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOAA,EG6101,19,1961,7,16,17,0,43.05,66.8,6.5,0,0,0,0,0,0,0,3013,2511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1507,0,0,0,9040,0,0,0,0,0,0,0,0,0,9040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOAA,EG6101,21,1961,7,16,17,0,42.95,67.25,0,0,0,0,0,0,0,0,1507,67,0,0,0,0,0,0,0,0,0,0,0,0,0,1507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOAA,EG6101,23,1961,7,16,17,0,42.85,67.75,0,0,0,0,0,0,0,0,112997,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9040,0,0,0,0,0,0,0,0,0,9040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOAA,EG6101,25,1961,7,16,17,0,42.75,68.25,0,0,0,0,0,0,0,0,3013,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9040,0,0,0,0,0,0,0,0,0,4520,0,0,0,0,0,0,0,0,0,0,3013,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOAA,EG6101,27,1961,7,16,17,0,42.6667,68.75,0,0,0,0,0,0,0,0,9040,2511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25613,0,0,0,1507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOAA,EG6101,29,1961,7,16,17,0,42.5667,69.25,0,0,0,0,0,0,0,0,9040,2511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOAA,EG6101,31,1961,7,16,17,0,42.4667,69.75,0,0,0,0,0,0,0,0,25613,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,4520,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOAA,EG6101,33,1961,7,16,17,0,42.3667,70.25,0,0,0,0,0,0,0,0,1507,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
